id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,2,multiclass,-0.717232,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:03:58,3662.4,3605.3,2.6,11.0,1229737989,,0.726942,0.702259,0.717232,,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,3,multiclass,-0.710293,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:04:14,3667.7,3613.4,2.5,16.0,1229737990,,0.741505,0.729763,0.710293,,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,4,multiclass,-0.769536,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:04:37,3664.2,3605.7,2.8,9.0,1229737991,,0.73301,0.718354,0.769536,,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,6,multiclass,-0.764395,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:05:00,3655.6,3604.2,1.1,6.0,1229737993,,0.720874,0.70011,0.764395,,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,7,multiclass,-0.751779,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:05:25,3660.4,3601.6,3.4,10.0,1229737994,,0.722965,0.692147,0.751779,,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,4,binary,0.985524,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:05:27,3652.8,3605.5,0.3,8.0,1229737991,,0.942857,0.943044,0.271626,0.985524,
openml.org/t/168868,APSFailure,mljarsupervised_benchmark,1h8c_gp3,4,binary,0.991244,auc,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:05:29,3714.4,3694.3,5.2,34.0,1835214304,,0.986711,0.631387,0.0158875,0.991244,
openml.org/t/168911,jasmine,autosklearn,1h8c_gp3,1,binary,0.894631,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:13,3650.2,3601.9,1.2,13.0,1229737988,,0.83612,0.835817,0.378873,0.894631,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,6,binary,0.993831,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:33,3658.7,3610.0,0.6,12.0,1229737993,,0.968254,0.968044,0.115878,0.993831,
openml.org/t/189355,dionis,mljarsupervised_benchmark,1h8c_gp3,3,multiclass,,neg_logloss,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:06:43,7318.9,,,,1835214303,CalledProcessError: Command '/bench/frameworks/mljarsupervised/venv/bin/python -W ignore /bench/frameworks/mljarsupervised/exec.py' returned non-zero exit status 143.,,,,,
openml.org/t/211979,jannis,autosklearn,1h8c_gp3,6,multiclass,-0.665001,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:44,3678.7,3602.6,13.1,11.0,1229737993,,0.736415,0.566489,0.665001,,
openml.org/t/168911,jasmine,autosklearn,1h8c_gp3,2,binary,0.921924,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:46,3662.2,3615.2,0.8,12.0,1229737989,,0.859532,0.859911,0.334982,0.921924,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,7,binary,0.989516,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:06:54,3660.1,3608.6,2.1,12.0,1229737994,,0.949206,0.949395,0.191736,0.989516,
